sample_id,cell_type
A1P3-7141-D3_a1p3,7141
A1P3-7141-D4_a1p3,7141
A1P3-7141-D5_a1p3,7141
A1P3-7141-D6_a1p3,7141
A1P3-7141-D7_a1p3,7141
A1P3-7141-D8_a1p3,7141
A1P3-7141-D9_a1p3,7141
A1P3-7141-E1_a1p3,7141
A1P3-7141-E10_a1p3,7141
A1P3-7141-E11_a1p3,7141
A1P3-7141-E12_a1p3,7141
A1P3-7141-E2_a1p3,7141
A1P3-7141-E3_a1p3,7141
A1P3-7141-E4_a1p3,7141
A1P3-7141-E5_a1p3,7141
A1P3-7141-E6_a1p3,7141
A1P3-7141-E7_a1p3,7141
A1P3-7141-E8_a1p3,7141
A1P3-7141-E9_a1p3,7141
A1P3-7141-F1_a1p3,7141
A1P3-7141-F10_a1p3,7141
A1P3-7141-F2_a1p3,7141
A1P3-7141-F3_a1p3,7141
A1P3-7141-F4_a1p3,7141
A1P3-7141-F5_a1p3,7141
A1P3-7141-F6_a1p3,7141
A1P3-7141-F7_a1p3,7141
A1P3-7141-F8_a1p3,7141
A1P3-7141-F9_a1p3,7141
A1P3MEP-F11_a1p3,MEP
A1P3MEP-F12_a1p3,MEP
A1P3MEPG1_a1p3,MEP
A1P3MEPG2_a1p3,MEP
A1P3MEPG3_a1p3,MEP
A1P3MEPG4_a1p3,MEP
A1P3MEPG5_a1p3,MEP
A1P3MEPG6_a1p3,MEP
A2P3-7141-A1_a2p3,7141
A2P3-7141-A10_a2p3,7141
A2P3-7141-A11_a2p3,7141
A2P3-7141-A12_a2p3,7141
A2P3-7141-A2_a2p3,7141
A2P3-7141-A3_a2p3,7141
A2P3-7141-A4_a2p3,7141
A2P3-7141-A5_a2p3,7141
A2P3-7141-A6_a2p3,7141
A2P3-7141-A7_a2p3,7141
A2P3-7141-A8_a2p3,7141
A2P3-7141-A9_a2p3,7141
A2P3-7141-B1_a2p3,7141
A2P3-7141-B10_a2p3,7141
A2P3-7141-B11_a2p3,7141
A2P3-7141-B12_a2p3,7141
A2P3-7141-B2_a2p3,7141
A2P3-7141-B3_a2p3,7141
