Gene_1,Gene_2,MI
BIM/BCL2,CD71/TFRC,0.257851460106651
JAK2,MYB,0.257444046465384
CD38,TAL1,0.257415213151099
DHRS3,TGFB1,0.257008376899381
DDB1,LOX,0.256775068922554
CD42/GP1BA,JAK2,0.256563236783749
MCL1,VWF,0.256467357380282
DHRS3,LSD1/KDM1A,0.256284294227136
CD105/ENG,CNRIP1,0.255958344410828
CD71/TFRC,CD9,0.255848149494938
CTNNB1,ETS1,0.254957970534036
RGS18,SDPR,0.254747412289472
CTNNB1,SELP,0.25435551259315
CD41/ITGA2B,CLU,0.254178243480181
CD71/TFRC,ETS1,0.254131848882483
CD9,VWF,0.254117180107563
GABPA,GFI1B,0.253815511819144
CD36,KLF1,0.252943085619572
CD110/MPL,MYB,0.252723528732859
CNRIP1,TMEM180/MFSD13A,0.252637950750228
CD61/ITGB3,MCL1,0.252548406171439
GATA2,MEIS1,0.252392055740606
GATA2,HIF1A,0.252284878883901
CD44,EIF4EBP1,0.252245396063392
ANK1,TMEM180/MFSD13A,0.252209434930404
CD117/KIT,GATA2,0.252155605442661
CD38,MCL1,0.252130225925303
CDK6,SELP,0.252056488601875
ANK1,CTNNB1,0.251717370244506
CD117/KIT,ETS1,0.251234169358683
CDK6,CLU,0.251139562137591
ETS1,TAL1,0.251135102791351
GATA2,SELP,0.251054845082653
CD41/ITGA2B,SELP,0.250868437419621
GFI1B,LOX,0.250728813421954
CD34,HPRT1,0.250723419120391
CD44,MYB,0.250646461540509
CLU,HIF1A,0.250435622401585
CD71/TFRC,CLU,0.25009459080824
CD38,CDK6,0.249810428831688
CDK4,GFI1B,0.249788049215872
CD34,CD42/GP1BA,0.249483413103868
CD41/ITGA2B,TMOD1,0.249036338782039
P27KIP1/CDKN1B,SDPR,0.248955921644777
CDK4,TMEM180/MFSD13A,0.248877181050341
GATA1,TMEM180/MFSD13A,0.248777261030944
CD117/KIT,SPI1,0.248549184238038
CD110/MPL,CLU,0.248374647401817
