,gene1,gene2,value,gene_pair
297,ANK1,RUNX1,0.321208645738568,ANK1 & RUNX1
298,GABPA,MYB,0.320456212159013,GABPA & MYB
299,CLU,MCL1,0.320275646042104,CLU & MCL1
300,CD42/GP1BA,GATA1,0.319728423965673,CD42/GP1BA & GATA1
301,LSD1/KDM1A,MEIS1,0.318477541739127,LSD1/KDM1A & MEIS1
302,LSD1/KDM1A,TMEM180/MFSD13A,0.318244937523656,LSD1/KDM1A & TMEM180/MFSD13A
303,CNRIP1,DDB1,0.318241794875288,CNRIP1 & DDB1
304,JAK2,SRD5A3,0.318218253451589,JAK2 & SRD5A3
305,ANK1,TMOD1,0.317397813112219,ANK1 & TMOD1
306,RUNX1,TMEM180/MFSD13A,0.317353037606275,RUNX1 & TMEM180/MFSD13A
307,LOX,MCL1,0.316833777002228,LOX & MCL1
308,CD41/ITGA2B,MEIS1,0.316633654800818,CD41/ITGA2B & MEIS1
309,SDPR,TGFB1,0.316391171034027,SDPR & TGFB1
310,CD110/MPL,GFI1B,0.315836550828114,CD110/MPL & GFI1B
311,CD41/ITGA2B,CD9,0.315810784279996,CD41/ITGA2B & CD9
312,KLF1,TAL1,0.315504178879406,KLF1 & TAL1
313,CD34,MYB,0.315179980599256,CD34 & MYB
314,CD36,TAL1,0.314964521534993,CD36 & TAL1
315,CD110/MPL,EIF4EBP1,0.314557816223573,CD110/MPL & EIF4EBP1
316,CD105/ENG,HPRT1,0.314096056957237,CD105/ENG & HPRT1
317,CD42/GP1BA,CDK6,0.313903092040408,CD42/GP1BA & CDK6
318,CD117/KIT,CD42/GP1BA,0.313376800855372,CD117/KIT & CD42/GP1BA
319,CD42/GP1BA,LOX,0.31216115662432,CD42/GP1BA & LOX
320,CD34,CTNNB1,0.312019501338398,CD34 & CTNNB1
321,CD42/GP1BA,HIF1A,0.311173157645049,CD42/GP1BA & HIF1A
322,SRD5A3,TAL1,0.310489027460668,SRD5A3 & TAL1
323,DDB1,GATA2,0.310036854621193,DDB1 & GATA2
324,GABPA,HIF1A,0.308636170092695,GABPA & HIF1A
325,CD117/KIT,CD41/ITGA2B,0.308085893759194,CD117/KIT & CD41/ITGA2B
326,CD44,RUNX1,0.307942922731189,CD44 & RUNX1
327,ANK1,CD61/ITGB3,0.307644738943143,ANK1 & CD61/ITGB3
328,MCL1,TMEM180/MFSD13A,0.307143879917278,MCL1 & TMEM180/MFSD13A
329,HPRT1,SRD5A3,0.307133805316528,HPRT1 & SRD5A3
330,SDPR,TAL1,0.307089396879465,SDPR & TAL1
331,CTNNB1,SDPR,0.306762673699426,CTNNB1 & SDPR
332,MYB,SRD5A3,0.30668464591537,MYB & SRD5A3
333,TAL1,TMEM180/MFSD13A,0.306389518948302,TAL1 & TMEM180/MFSD13A
334,CD36,DHRS3,0.305757695640531,CD36 & DHRS3
335,HIF1A,HPRT1,0.305395452606924,HIF1A & HPRT1
336,CD38,MYB,0.304958219431524,CD38 & MYB
337,CD41/ITGA2B,HIF1A,0.304430206182736,CD41/ITGA2B & HIF1A
338,CTNNB1,GATA1,0.304344526033086,CTNNB1 & GATA1
339,CD44,CD71/TFRC,0.303331724378942,CD44 & CD71/TFRC
340,GFI1B,HIF1A,0.303003321822621,GFI1B & HIF1A
341,CD105/ENG,SRD5A3,0.302637273341652,CD105/ENG & SRD5A3
342,CD110/MPL,TAL1,0.301880784938644,CD110/MPL & TAL1
343,CD41/ITGA2B,CDK6,0.300571000069858,CD41/ITGA2B & CDK6
344,CD117/KIT,GFI1B,0.300300746047173,CD117/KIT & GFI1B
345,CLU,GABPA,0.30014693445351,CLU & GABPA
346,CD9,TGFB1,0.298214892792206,CD9 & TGFB1
347,CNRIP1,JAK2,0.298012598349627,CNRIP1 & JAK2
348,DHRS3,TAL1,0.297798052535682,DHRS3 & TAL1
349,CNRIP1,RUNX1,0.297691238398745,CNRIP1 & RUNX1
350,ANK1,MCL1,0.297638840852459,ANK1 & MCL1
351,CDK6,GATA1,0.297453144673842,CDK6 & GATA1
352,CD71/TFRC,LOX,0.297424667148167,CD71/TFRC & LOX
353,GFI1B,MEIS1,0.297140440836955,GFI1B & MEIS1
354,GATA1,JAK2,0.296826964808982,GATA1 & JAK2
355,EIF4EBP1,GABPA,0.296818705711446,EIF4EBP1 & GABPA
356,CD34,ETS1,0.296702714408048,CD34 & ETS1
357,P27KIP1/CDKN1B,RUNX1,0.29663916657707,P27KIP1/CDKN1B & RUNX1
358,CD110/MPL,CDK6,0.296405437662564,CD110/MPL & CDK6
359,CD41/ITGA2B,MYB,0.29601206201337,CD41/ITGA2B & MYB
360,CD110/MPL,CTNNB1,0.295614240618834,CD110/MPL & CTNNB1
361,CD117/KIT,GATA1,0.295186062801285,CD117/KIT & GATA1
362,HPRT1,JAK2,0.294823926099433,HPRT1 & JAK2
363,CD42/GP1BA,SDPR,0.294664695987691,CD42/GP1BA & SDPR
364,CDK6,SPI1,0.294267842806861,CDK6 & SPI1
365,CD110/MPL,LOX,0.294093275191417,CD110/MPL & LOX
366,CD117/KIT,TMOD1,0.29343283734706,CD117/KIT & TMOD1
367,EIF4EBP1,SPI1,0.293025873900813,EIF4EBP1 & SPI1
368,CD61/ITGB3,GFI1B,0.293016449945391,CD61/ITGB3 & GFI1B
369,CTNNB1,HPRT1,0.29277093974891,CTNNB1 & HPRT1
370,CD105/ENG,CDK4,0.292618636450249,CD105/ENG & CDK4
371,EIF4EBP1,MEIS1,0.292467088444846,EIF4EBP1 & MEIS1
372,CD34,DDB1,0.292466584971508,CD34 & DDB1
373,CD71/TFRC,FOG1/ZFPM1,0.292367947118593,CD71/TFRC & FOG1/ZFPM1
